datum;fullDepo;balance;equity;hozam;lots
2019.04.08 02:33;420991.75;428680.82;428680.82;0.00;
2019.04.08 02:33;420999.94;428689.01;428689.01;0.00;
2019.04.08 02:33;421008.13;428697.20;428697.20;0.00;
2019.04.08 02:33;421016.32;428705.39;428705.39;0.00;
2019.04.08 02:33;421024.51;428713.58;428713.58;0.00;
2019.04.08 02:33;421032.70;428721.77;428721.77;0.00;
2019.04.08 02:33;421035.97;428725.04;428725.04;0.00;
2019.04.08 02:33;421039.24;428728.31;428728.31;0.00;
2019.04.08 02:33;421042.51;428731.58;428731.58;0.00;
2019.04.08 02:33;421044.15;428733.22;428733.22;0.00;
2019.04.08 02:33;421047.42;428736.49;428736.49;0.00;
2019.04.09 02:22;421549.47;429238.54;429238.54;0.00;
2019.04.09 02:22;421800.49;429489.56;429489.56;0.00;
2019.04.09 02:22;422051.51;429740.58;429740.58;0.00;
2019.04.09 02:22;422302.53;429991.60;429991.60;0.00;
2019.04.09 02:22;422553.55;430242.62;430242.62;0.00;
2019.04.09 02:22;422804.57;430493.64;430493.64;0.00;
2019.04.09 02:22;422930.08;430619.15;430619.15;0.00;
2019.04.09 02:22;423055.59;430744.66;430744.66;0.00;
2019.04.09 02:22;423181.10;430870.17;430870.17;0.00;
2019.04.09 02:22;423306.61;430995.68;430995.68;0.00;
2019.04.09 02:22;423432.12;431121.19;431121.19;0.00;
2019.04.09 02:23;423482.32;431171.39;431171.39;0.00;
2019.04.09 02:23;423532.52;431221.59;431221.59;0.00;
2019.04.09 02:23;423557.62;431246.69;431246.69;0.00;
2019.04.09 02:23;423607.82;431296.89;431296.89;0.00;
2019.04.09 02:23;423658.02;431347.09;431347.09;0.00;
2019.04.09 02:23;423683.12;431372.19;431372.19;0.00;
2019.04.09 02:23;423708.22;431397.29;431397.29;0.00;
2019.04.09 02:23;423733.32;431422.39;431422.39;0.00;
2019.04.09 02:23;423758.42;431447.49;431447.49;0.00;
2019.04.09 15:29;423758.42;431313.64;431313.64;0.00;0.10
2019.04.09 15:29;423758.42;431227.96;431227.96;0.00;0.10
2019.04.09 15:29;423758.42;431163.95;431163.95;0.00;0.10
2019.04.09 15:29;423758.42;431122.46;431122.46;0.00;0.10
