datum;fullDepo;balance;equity;hozamManual;hozamRobot
2019.04.16 2:21;425400.45;498468.04;498468.04;73067.59;0
2019.04.16 2:21;425416.38;498483.97;498483.97;73067.59;0
2019.04.16 2:22;425446.64;498514.23;498514.23;73067.59;0
2019.04.16 2:22;425510.35;498577.94;498577.94;73067.59;0
2019.04.16 2:22;425543.8;498611.39;498611.39;73067.59;0
2019.04.16 11:40;425543.8;498587.37;498587.37;73043.57;0
2019.04.16 11:40;425543.8;503211.04;503211.04;77667.24;0
2019.04.16 12:08;425543.8;498857.31;498857.31;73313.51;0
2019.04.16 13:07;425543.8;498375.91;498375.91;72832.11;0
2019.04.16 13:20;425543.8;496055.47;496055.47;70511.67;0
2019.04.16 15:13;425543.8;496500.91;496500.91;70957.11;0
2019.04.16 15:28;425543.8;484877.42;484877.42;59333.62;0
2019.04.16 22:33;425543.8;484508.06;484508.06;59333.62;-369.36
2019.04.16 22:33;425543.8;484138.7;484138.7;59333.62;-738.72
2019.04.16 22:34;425543.8;484850.81;484850.81;60045.73;-738.72
2019.04.16 22:34;425543.8;537224.14;537224.14;112419.06;-738.72
2019.04.16 22:34;425543.8;531198.99;531198.99;106393.91;-738.72
2019.04.16 22:34;425543.8;527894.6;527894.6;103089.52;-738.72
2019.04.16 22:34;425543.8;554010.45;554010.45;129205.37;-738.72
2019.04.16 22:34;425543.8;578718.64;578718.64;153913.56;-738.72
2019.04.16 22:34;425543.8;570635.54;570635.54;145830.46;-738.72
2019.04.16 22:34;425543.8;570129.69;570129.69;145324.61;-738.72
2019.04.17 2:25;425975.53;570561.42;570561.42;145324.61;-738.72
2019.04.17 17:00;425975.53;570560.29;570560.29;145324.61;-739.85
2019.04.17 17:00;425975.53;570559.16;570559.16;145324.61;-740.98
2019.04.17 20:45;425975.53;570725.55;570725.55;145324.61;-574.59
2019.04.18 2:32;426081.41;570831.43;570831.43;145324.61;-574.59
2019.04.18 2:32;426135.35;570885.37;570885.37;145324.61;-574.59
2019.04.18 2:32;426185.29;570935.31;570935.31;145324.61;-574.59
2019.04.18 2:32;426225.24;570975.26;570975.26;145324.61;-574.59
2019.04.18 4:13;426225.24;558230.72;558230.72;132580.07;-574.59
2019.04.18 4:13;426225.24;544108.13;544108.13;118457.48;-574.59
2019.04.18 4:13;426225.24;522947.41;522947.41;97296.76;-574.59
2019.04.18 4:13;426225.24;516961.03;516961.03;91310.38;-574.59
2019.04.22 2:19;426269.55;517005.34;517005.34;91310.38;-574.59
2019.04.22 2:19;426491.12;517226.91;517226.91;91310.38;-574.59
2019.04.22 2:19;426502.2;517237.99;517237.99;91310.38;-574.59
2019.04.22 2:19;426513.28;517249.07;517249.07;91310.38;-574.59
2019.04.22 18:12;426513.28;518144.95;518144.95;92206.26;-574.59
2019.04.22 18:13;426513.28;518585.23;518585.23;92646.54;-574.59
2019.04.22 18:16;426513.28;521963.28;521963.28;96024.59;-574.59
2019.04.22 18:16;426513.28;521506.81;521506.81;95568.12;-574.59
2019.04.23 2:12;426516.53;521510.06;521510.06;95568.12;-574.59
2019.04.23 2:12;426519.78;521513.31;521513.31;95568.12;-574.59
2019.04.23 2:16;426855.22;521848.75;521848.75;95568.12;-574.59
2019.04.23 10:05;426855.22;521480.89;521480.89;95568.12;-942.45
2019.04.23 10:05;426855.22;521105.91;521105.91;95568.12;-1317.43
2019.04.23 17:02;426855.22;522991.98;522991.98;95568.12;568.64
2019.04.23 17:04;426855.22;524974.18;524974.18;95568.12;2550.84
2019.04.23 22:36;426855.22;524949.61;524949.61;95568.12;2526.27
2019.04.23 22:36;426855.22;524946.18;524946.18;95568.12;2522.84
2019.04.24 2:13;426863.8;524954.76;524954.76;95568.12;2522.84
2019.04.24 2:13;426864.44;524955.4;524955.4;95568.12;2522.84
2019.04.24 2:13;426865.08;524956.04;524956.04;95568.12;2522.84
2019.04.24 6:04;426865.08;524192.86;524192.86;95568.12;1759.66
2019.04.24 15:18;426865.08;526020.9;526020.9;95568.12;3587.7
2019.04.24 15:38;426865.08;525488.25;525488.25;95568.12;3055.05
2019.04.24 15:38;426865.08;525440.14;525440.14;95568.12;3006.94
2019.04.24 15:38;426865.08;525364.72;525364.72;95568.12;2931.52
2019.04.24 16:30;426865.08;526342.48;526342.48;95568.12;3909.28
2019.04.24 19:58;426865.08;527198.92;527198.92;95568.12;4765.72
2019.04.24 22:58;426865.08;594257.31;594257.31;162626.51;4765.72
2019.04.25 7:30;426865.08;594342.77;594342.77;162626.51;4851.18
2019.04.25 12:38;426865.08;591445.79;591445.79;159729.53;4851.18
2019.04.25 12:38;426865.08;589514.33;589514.33;157798.07;4851.18
2019.04.25 23:04;426865.08;581522.22;581522.22;149805.96;4851.18
2019.04.25 23:04;426865.08;577086.51;577086.51;145370.25;4851.18
2019.04.25 23:05;426865.08;575843.16;575843.16;144126.9;4851.18
2019.04.26 7:20;426865.08;574545.32;574545.32;144126.9;3553.34
2019.04.26 9:05;426865.08;564655.52;564655.52;134237.1;3553.34
2019.04.29 3:03;427122.92;564913.36;564913.36;134237.1;3553.34
2019.04.29 3:03;427226.05;565016.49;565016.49;134237.1;3553.34
2019.04.29 3:05;427182.65;564973.09;564973.09;134237.1;3553.34
2019.04.29 22:24;427182.65;577798.92;577798.92;147062.93;3553.34
2019.04.30 1:24;427182.65;601971.94;601971.94;171235.95;3553.34
2019.04.30 1:24;427182.65;606123.74;606123.74;175387.75;3553.34
2019.04.30 1:24;427182.65;603517.26;603517.26;172781.27;3553.34
2019.04.30 2:39;427295.64;603630.25;603630.25;172781.27;3553.34
2019.04.30 2:39;427340.84;603675.45;603675.45;172781.27;3553.34
2019.04.30 5:43;427340.84;603871.2;603871.2;172781.27;3749.09
